Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																																					0.000107	2.282991	0.000007																																																																																																							-2.283105	
 1 	 2																																																																																																																					0.000093	2.283005	0.000007																																																																																																							-2.283105	
 1 	 3																																																																																																																					0.000091	2.283007	0.000007																																																																																																							-2.283105	
 1 	 4																																																																																																																					0.000117	2.282980	0.000007																																																																																																							-2.283105	
 1 	 5																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 6																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 7																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 8																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 9																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 10																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 11																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 12																																																																																																																					0.000122	2.282976	0.000008																																																																																																							-2.283105	
 1 	 13																																																																																																																					0.000069	2.283029	0.000007																																																																																																							-2.283105	
 1 	 14																																																																																																																					0.000069	2.283029	0.000007																																																																																																							-2.283105	
 1 	 15																																																																																																																					0.000069	2.283029	0.000007																																																																																																							-2.283105	
 1 	 16																																																																																																																					0.000121	2.282977	0.000008																																																																																																							-2.283105	
 1 	 17																																																																																																																					0.000121	2.282977	0.000008																																																																																																							-2.283105	
 1 	 18																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 19																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 20																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 21																																																																																																																					0.000120	2.282977	0.000008																																																																																																							-2.283105	
 1 	 22																																																																																																																					0.000120	2.282978	0.000008																																																																																																							-2.283105	
 1 	 23																																																																																																																					0.000118	2.282980	0.000007																																																																																																							-2.283105	
 1 	 24																																																																																																																					0.000115	2.282982	0.000007																																																																																																							-2.283105	
 2 	 1																																																																																																																					0.000073	2.283024	0.000008																																																																																																							-2.283105	
 2 	 2																																																																																																																					0.000062	2.283035	0.000008																																																																																																							-2.283105	
 2 	 3																																																																																																																					0.000058	2.283039	0.000008																																																																																																							-2.283105	
 2 	 4																																																																																																																					0.000171	2.282925	0.000009																																																																																																							-2.283105	
 2 	 5																																																																																																																					0.000143	2.282954	0.000009																																																																																																							-2.283105	
 2 	 6																																																																																																																					0.000139	2.282958	0.000009																																																																																																							-2.283105	
 2 	 7																																																																																																																					0.000142	2.282954	0.000009																																																																																																							-2.283105	
 2 	 8																																																																																																																					0.000137	2.282959	0.000009																																																																																																							-2.283105	
 2 	 9																																																																																																																					0.000142	2.282955	0.000009																																																																																																							-2.283105	
 2 	 10																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 11																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 12																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 13																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 14																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 15																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 16																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 17																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 18																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 19																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 20																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 21																																																																																																																					0.000081	2.283016	0.000008																																																																																																							-2.283105	
 2 	 22																																																																																																																					0.000171	2.282925	0.000009																																																																																																							-2.283105	
 2 	 23																																																																																																																					0.000130	2.282967	0.000009																																																																																																							-2.283105	
 2 	 24																																																																																																																					0.000116	2.282980	0.000009																																																																																																							-2.283105	
 3 	 1																																																																																																																					0.000033	2.283067	0.000004																																																																																																							-2.283105	
 3 	 2																																																																																																																					0.000032	2.283069	0.000004																																																																																																							-2.283105	
 3 	 3																																																																																																																					0.000032	2.283069	0.000004																																																																																																							-2.283105	
 3 	 4																																																																																																																					0.000037	2.283064	0.000004																																																																																																							-2.283105	
 3 	 5																																																																																																																					0.000041	2.283060	0.000005																																																																																																							-2.283105	
 3 	 6																																																																																																																					0.000041	2.283059	0.000005																																																																																																							-2.283105	
 3 	 7																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 8																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 9																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 10																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 11																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 12																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 13																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 14																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 15																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 16																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
 3 	 17																																																																																																																					0.000044	2.283057	0.000005																																																																																																							-2.283105	
