Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 2 	 24																																																																																																						0.459378	0.638502	0.000000	0.050564	0.000000	1.148445																																																																																																																			-2.296890	
 3 	 1																																																																																																						0.286867	0.398724	0.000000	0.031576	0.000000	0.717167																																																																																																																			-1.434334	
 3 	 2																																																																																																						0.114845	0.159626	0.000000	0.012641	0.000000	0.287111																																																																																																																			-0.574222	
 3 	 3																																																																																																						0.057178	0.079473	0.000000	0.006294	0.000000	0.142945																																																																																																																			-0.285889	
 3 	 4																																																																																																						0.689067	0.957753	0.000000	0.075846	0.000000	1.722667																																																																																																																			-3.445335	
 3 	 5																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 3 	 6																																																																																																						4.593780	6.385022	0.000003	0.505643	0.000002	11.484450																																																																																																																			-22.968899	
 3 	 7																																																																																																						8.899227	12.369282	0.000006	0.979549	0.000003	22.248067																																																																																																																			-44.496134	
 3 	 8																																																																																																						7.750929	10.773230	0.000005	0.853154	0.000003	19.377321																																																																																																																			-38.754642	
 3 	 9																																																																																																						7.176804	9.975238	0.000005	0.789960	0.000003	17.942009																																																																																																																			-35.884018	
 3 	 10																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 3 	 11																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 3 	 12																																																																																																						10.104948	14.045147	0.000007	1.112264	0.000004	25.262368																																																																																																																			-50.524737	
 3 	 13																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 3 	 14																																																																																																						9.301134	12.927904	0.000006	1.023787	0.000004	23.252834																																																																																																																			-46.505668	
 3 	 15																																																																																																						10.449432	14.523955	0.000007	1.150182	0.000004	26.123580																																																																																																																			-52.247160	
 3 	 16																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 3 	 17																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 3 	 18																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 3 	 19																																																																																																						5.741443	7.980191	0.000004	0.631968	0.000002	14.353607																																																																																																																			-28.707215	
 3 	 20																																																																																																						4.305447	5.984260	0.000003	0.473906	0.000002	10.763617																																																																																																																			-21.527234	
 3 	 21																																																																																																						2.868669	3.987242	0.000002	0.315758	0.000001	7.171672																																																																																																																			-14.343345	
 3 	 22																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 3 	 23																																																																																																						1.148445	1.596256	0.000001	0.126411	0.000000	2.871112																																																																																																																			-5.742225	
 3 	 24																																																																																																						0.459378	0.638502	0.000000	0.050564	0.000000	1.148445																																																																																																																			-2.296890	
 4 	 1																																																																																																						0.286867	0.398724	0.000000	0.031576	0.000000	0.717167																																																																																																																			-1.434334	
 4 	 2																																																																																																						0.114845	0.159626	0.000000	0.012641	0.000000	0.287111																																																																																																																			-0.574222	
 4 	 3																																																																																																						0.057178	0.079473	0.000000	0.006294	0.000000	0.142945																																																																																																																			-0.285889	
 4 	 4																																																																																																						0.689067	0.957753	0.000000	0.075846	0.000000	1.722667																																																																																																																			-3.445335	
 4 	 5																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 4 	 6																																																																																																						4.593780	6.385022	0.000003	0.505643	0.000002	11.484450																																																																																																																			-22.968899	
 4 	 7																																																																																																						8.899227	12.369282	0.000006	0.979549	0.000003	22.248067																																																																																																																			-44.496134	
 4 	 8																																																																																																						7.750929	10.773230	0.000005	0.853154	0.000003	19.377321																																																																																																																			-38.754642	
 4 	 9																																																																																																						7.176804	9.975238	0.000005	0.789960	0.000003	17.942009																																																																																																																			-35.884018	
 4 	 10																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 4 	 11																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 4 	 12																																																																																																						10.104948	14.045147	0.000007	1.112264	0.000004	25.262368																																																																																																																			-50.524737	
 4 	 13																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 4 	 14																																																																																																						9.301134	12.927904	0.000006	1.023787	0.000004	23.252834																																																																																																																			-46.505668	
 4 	 15																																																																																																						10.449432	14.523955	0.000007	1.150182	0.000004	26.123580																																																																																																																			-52.247160	
 4 	 16																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 4 	 17																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 4 	 18																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 4 	 19																																																																																																						5.741443	7.980191	0.000004	0.631968	0.000002	14.353607																																																																																																																			-28.707215	
 4 	 20																																																																																																						4.305447	5.984260	0.000003	0.473906	0.000002	10.763617																																																																																																																			-21.527234	
 4 	 21																																																																																																						2.868669	3.987242	0.000002	0.315758	0.000001	7.171672																																																																																																																			-14.343345	
 4 	 22																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 4 	 23																																																																																																						1.148445	1.596256	0.000001	0.126411	0.000000	2.871112																																																																																																																			-5.742225	
 4 	 24																																																																																																						0.459378	0.638502	0.000000	0.050564	0.000000	1.148445																																																																																																																			-2.296890	
 5 	 1																																																																																																						0.286867	0.398724	0.000000	0.031576	0.000000	0.717167																																																																																																																			-1.434334	
 5 	 2																																																																																																						0.114845	0.159626	0.000000	0.012641	0.000000	0.287111																																																																																																																			-0.574222	
 5 	 3																																																																																																						0.057178	0.079473	0.000000	0.006294	0.000000	0.142945																																																																																																																			-0.285889	
 5 	 4																																																																																																						0.689067	0.957753	0.000000	0.075846	0.000000	1.722667																																																																																																																			-3.445335	
 5 	 5																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 5 	 6																																																																																																						4.593780	6.385022	0.000003	0.505643	0.000002	11.484450																																																																																																																			-22.968899	
 5 	 7																																																																																																						8.899227	12.369282	0.000006	0.979549	0.000003	22.248067																																																																																																																			-44.496134	
 5 	 8																																																																																																						7.750929	10.773230	0.000005	0.853154	0.000003	19.377321																																																																																																																			-38.754642	
 5 	 9																																																																																																						7.176804	9.975238	0.000005	0.789960	0.000003	17.942009																																																																																																																			-35.884018	
 5 	 10																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 5 	 11																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 5 	 12																																																																																																						10.104948	14.045147	0.000007	1.112264	0.000004	25.262368																																																																																																																			-50.524737	
 5 	 13																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 5 	 14																																																																																																						9.301134	12.927904	0.000006	1.023787	0.000004	23.252834																																																																																																																			-46.505668	
 5 	 15																																																																																																						10.449432	14.523955	0.000007	1.150182	0.000004	26.123580																																																																																																																			-52.247160	
 5 	 16																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 5 	 17																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 5 	 18																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 5 	 19																																																																																																						5.741443	7.980191	0.000004	0.631968	0.000002	14.353607																																																																																																																			-28.707215	
 5 	 20																																																																																																						4.305447	5.984260	0.000003	0.473906	0.000002	10.763617																																																																																																																			-21.527234	
 5 	 21																																																																																																						2.868669	3.987242	0.000002	0.315758	0.000001	7.171672																																																																																																																			-14.343345	
 5 	 22																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 5 	 23																																																																																																						1.148445	1.596256	0.000001	0.126411	0.000000	2.871112																																																																																																																			-5.742225	
 5 	 24																																																																																																						0.459378	0.638502	0.000000	0.050564	0.000000	1.148445																																																																																																																			-2.296890	
 6 	 1																																																																																																						0.286867	0.398724	0.000000	0.031576	0.000000	0.717167																																																																																																																			-1.434334	
 6 	 2																																																																																																						0.114845	0.159626	0.000000	0.012641	0.000000	0.287111																																																																																																																			-0.574222	
 6 	 3																																																																																																						0.057178	0.079473	0.000000	0.006294	0.000000	0.142945																																																																																																																			-0.285889	
 6 	 4																																																																																																						0.689067	0.957753	0.000000	0.075846	0.000000	1.722667																																																																																																																			-3.445335	
 6 	 5																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 6 	 6																																																																																																						4.593780	6.385022	0.000003	0.505643	0.000002	11.484450																																																																																																																			-22.968899	
 6 	 7																																																																																																						8.899227	12.369282	0.000006	0.979549	0.000003	22.248067																																																																																																																			-44.496134	
 6 	 8																																																																																																						7.750929	10.773230	0.000005	0.853154	0.000003	19.377321																																																																																																																			-38.754642	
 6 	 9																																																																																																						7.176804	9.975238	0.000005	0.789960	0.000003	17.942009																																																																																																																			-35.884018	
 6 	 10																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 6 	 11																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 6 	 12																																																																																																						10.104948	14.045147	0.000007	1.112264	0.000004	25.262368																																																																																																																			-50.524737	
 6 	 13																																																																																																						9.186290	12.768278	0.000006	1.011146	0.000004	22.965723																																																																																																																			-45.931446	
 6 	 14																																																																																																						9.301134	12.927904	0.000006	1.023787	0.000004	23.252834																																																																																																																			-46.505668	
 6 	 15																																																																																																						10.449432	14.523955	0.000007	1.150182	0.000004	26.123580																																																																																																																			-52.247160	
 6 	 16																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 6 	 17																																																																																																						10.908762	15.162390	0.000007	1.200741	0.000004	27.271903																																																																																																																			-54.543806	
 6 	 18																																																																																																						8.038040	11.172294	0.000005	0.884757	0.000003	20.095099																																																																																																																			-40.190198	
 6 	 19																																																																																																						5.741443	7.980191	0.000004	0.631968	0.000002	14.353607																																																																																																																			-28.707215	
 6 	 20																																																																																																						4.305447	5.984260	0.000003	0.473906	0.000002	10.763617																																																																																																																			-21.527234	
 6 	 21																																																																																																						2.868669	3.987242	0.000002	0.315758	0.000001	7.171672																																																																																																																			-14.343345	
 6 	 22																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
 6 	 23																																																																																																						1.148445	1.596256	0.000001	0.126411	0.000000	2.871112																																																																																																																			-5.742225	
 6 	 24																																																																																																						0.459378	0.638502	0.000000	0.050564	0.000000	1.148445																																																																																																																			-2.296890	
 7 	 1																																																																																																						0.286867	0.398724	0.000000	0.031576	0.000000	0.717167																																																																																																																			-1.434334	
 7 	 2																																																																																																						0.114845	0.159626	0.000000	0.012641	0.000000	0.287111																																																																																																																			-0.574222	
 7 	 3																																																																																																						0.057178	0.079473	0.000000	0.006294	0.000000	0.142945																																																																																																																			-0.285889	
 7 	 4																																																																																																						0.689067	0.957753	0.000000	0.075846	0.000000	1.722667																																																																																																																			-3.445335	
 7 	 5																																																																																																						1.837512	2.554009	0.000001	0.202257	0.000001	4.593780																																																																																																																			-9.187560	
