Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000007	-0.000003	-0.529912									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000727							0.000001	-8.616258		-0.000011																																																		-0.000014	11.713714																	0.000000	
 1 	 2																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000007	-0.000003	-0.529830									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000714							0.000001	-8.617108		-0.000011																																																		-0.000014	11.714468																	0.000000	
 1 	 3																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000006	-0.000003	-0.530398									0.000000	0.000001	0.000004		0.000002		-0.000003	-0.000694							0.000001	-8.615320		-0.000009																																																		-0.000014	11.713227																	0.000000	
 1 	 4																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000007	-0.000003	-0.529714									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000727							0.000001	-8.617471		-0.000012																																																		-0.000013	11.714730																	0.000000	
 1 	 5																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000007	-0.000003	-0.529693									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000728							0.000001	-8.618063		-0.000012																																																		-0.000013	11.715302																	0.000000	
 1 	 6																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529690									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000728							0.000001	-8.618834		-0.000012																																																		-0.000013	11.716070																	0.000000	
 1 	 7																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529643									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000729							0.000001	-8.618458		-0.000012																																																		-0.000013	11.715648																	0.000000	
 1 	 8																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529721									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000730							0.000001	-8.618233		-0.000013																																																		-0.000013	11.715503																	0.000000	
 1 	 9																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529704									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000727							0.000001	-8.619560		-0.000013																																																		-0.000013	11.716810																	0.000000	
 1 	 10																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529704									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000728							0.000001	-8.617829		-0.000013																																																		-0.000013	11.715080																	0.000000	
 1 	 11																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529703									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000727							0.000001	-8.619106		-0.000012																																																		-0.000013	11.716354																	0.000000	
 1 	 12																	0.000000	0.000000																																																																														-0.000004										-0.000000									-0.000000								-2.566776			-0.000068	-0.000003	-0.529710									0.000002	0.000002	0.000004		0.000002		-0.000004	-0.000726							0.000001	-8.619050		-0.000015																																																		-0.000013	11.716359																	0.000000	
 1 	 13																	0.000000	0.000000																																																																														-0.000002										-0.000000									-0.000000								-2.566776			-6.048226	-0.000003	-0.529731									0.000017	2.592252	0.000004		0.000002		-0.000004	-0.000699							0.000001	-8.620108		-0.000017																																																		-0.000013	15.173302																	0.000000	
 1 	 14																	0.000000	0.000000																																																																														-0.000002										-0.000000									-0.000000								-2.566776			-6.048222	-0.000003	-0.529756									0.000017	9.422879	0.000004		0.000002		-0.000004	-0.000700							0.000001	-8.622651		-0.000016																																																		-0.000013	8.345241																	0.000000	
 1 	 15																	0.000000	0.000000																																																																														-0.000002										-0.000000									-0.000000								-2.566776			-6.048225	-0.000003	-0.529732									0.000015	3.101297	0.000004		0.000002		-0.000004	-0.000707							0.000001	-8.620628		-0.000017																																																		-0.000013	14.664788																	0.000000	
 1 	 16																	0.000000	0.000000																																																																														-0.000004										-0.000000									-0.000000								-2.566776			-0.000070	-0.000003	-0.529715									0.000002	0.000002	0.000004		0.000002		-0.000003	-0.000728							0.000001	-8.621923		-0.000015																																																		-0.000013	11.719241																	0.000000	
 1 	 17																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529730									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000730							0.000001	-8.619390		-0.000011																																																		-0.000013	11.716668																	0.000000	
 1 	 18																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529736									0.000001	0.000001	0.000004		0.000002		-0.000004	-0.000730							0.000001	-8.617842		-0.000013																																																		-0.000013	11.715127																	0.000000	
 1 	 19																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529746									0.000000	0.000001	0.000004		0.000002		-0.000003	-0.000729							0.000001	-8.617663		-0.000013																																																		-0.000013	11.714957																	0.000000	
 1 	 20																	0.000000	0.000000																																																																														-0.000011										-0.000000									-0.000000								-2.566776			-0.000008	-0.000003	-0.529742									0.000000	0.000001	0.000004		0.000002		-0.000004	-0.000728							0.000001	-8.616652		-0.000012																																																		-0.000014	11.713940																	0.000000	
