Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 2										0.000000																																																																																																																																														0.000001	0.000000	0.000053	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 3										0.000000																																																																																																																																														0.000001	0.000000	0.000051	-0.000046	-0.000003	-0.000003																																																																	0.000000	
 1 	 4										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000048	-0.000004	-0.000004																																																																	0.000000	
 1 	 5										0.000000																																																																																																																																														0.000001	0.000000	0.000048	-0.000042	-0.000004	-0.000004																																																																	0.000000	
 1 	 6										0.000000																																																																																																																																														0.000001	0.000000	0.000048	-0.000042	-0.000004	-0.000004																																																																	0.000000	
 1 	 7										0.000000																																																																																																																																														0.000001	0.000000	0.000048	-0.000042	-0.000004	-0.000004																																																																	0.000000	
 1 	 8										0.000000																																																																																																																																														0.000001	0.000000	0.000048	-0.000042	-0.000004	-0.000004																																																																	0.000000	
 1 	 9										0.000000																																																																																																																																														0.000001	0.000000	0.000041	-0.000034	-0.000004	-0.000004																																																																	0.000000	
 1 	 10										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 11										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 12										0.000000																																																																																																																																														0.000001	0.000000	0.000717	-0.000710	-0.000004	-0.000004																																																																	0.000000	
 1 	 13										0.000000																																																																																																																																														0.000001	0.000000	0.000848	-0.000841	-0.000004	-0.000004																																																																	0.000000	
 1 	 14										0.000000																																																																																																																																														0.000001	0.000000	2.588412	-2.588405	-0.000004	-0.000004																																																																	0.000000	
 1 	 15										0.000000																																																																																																																																														0.000001	0.000000	0.000708	-0.000700	-0.000004	-0.000004																																																																	0.000000	
 1 	 16										0.000000																																																																																																																																														0.000001	0.000000	0.000691	-0.000684	-0.000004	-0.000004																																																																	0.000000	
 1 	 17										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 18										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 19										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 20										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 21										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 22										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 23										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 1 	 24										0.000000																																																																																																																																														0.000001	0.000000	0.000054	-0.000047	-0.000004	-0.000004																																																																	0.000000	
 2 	 1										0.000000																																																																																																																																														0.000001	0.000000	0.000361	-0.000353	-0.000005	-0.000005																																																																	0.000000	
 2 	 2										0.000000																																																																																																																																														0.000001	0.000000	0.000366	-0.000358	-0.000005	-0.000005																																																																	0.000000	
 2 	 3										0.000000																																																																																																																																														0.000001	0.000000	0.000335	-0.000328	-0.000004	-0.000004																																																																	0.000000	
 2 	 4										0.000000																																																																																																																																														0.000001	0.000000	0.000360	-0.000352	-0.000005	-0.000005																																																																	0.000000	
 2 	 5										0.000000																																																																																																																																														0.000001	0.000000	0.000366	-0.000358	-0.000005	-0.000005																																																																	0.000000	
 2 	 6										0.000000																																																																																																																																														0.000001	0.000000	0.000371	-0.000362	-0.000005	-0.000005																																																																	0.000000	
 2 	 7										0.000000																																																																																																																																														0.000001	0.000000	0.000356	-0.000348	-0.000005	-0.000005																																																																	0.000000	
 2 	 8										0.000000																																																																																																																																														0.000001	0.000000	0.000367	-0.000358	-0.000005	-0.000005																																																																	0.000000	
 2 	 9										0.000000																																																																																																																																														0.000001	0.000000	0.000369	-0.000361	-0.000005	-0.000005																																																																	0.000000	
 2 	 10										0.000000																																																																																																																																														0.000001	0.000000	0.000401	-0.000393	-0.000005	-0.000005																																																																	0.000000	
 2 	 11										0.000000																																																																																																																																														0.000001	0.000000	0.001783	-0.001775	-0.000005	-0.000005																																																																	0.000000	
 2 	 12										0.000000																																																																																																																																														0.000001	0.000000	12.041033	-12.041025	-0.000005	-0.000005																																																																	0.000000	
 2 	 13										0.000000																																																																																																																																														0.000001	0.000000	22.448535	-22.448527	-0.000005	-0.000005																																																																	0.000000	
 2 	 14										0.000000																																																																																																																																														0.000001	0.000000	20.931255	-20.931246	-0.000005	-0.000005																																																																	0.000000	
 2 	 15										0.000000																																																																																																																																														0.000001	0.000000	12.452527	-12.452518	-0.000005	-0.000005																																																																	0.000000	
 2 	 16										0.000000																																																																																																																																														0.000001	0.000000	2.836457	-2.836449	-0.000005	-0.000005																																																																	0.000000	
 2 	 17										0.000000																																																																																																																																														0.000001	0.000000	0.000552	-0.000543	-0.000005	-0.000005																																																																	0.000000	
 2 	 18										0.000000																																																																																																																																														0.000001	0.000000	0.000500	-0.000491	-0.000005	-0.000005																																																																	0.000000	
 2 	 19										0.000000																																																																																																																																														0.000001	0.000000	0.000400	-0.000392	-0.000005	-0.000005																																																																	0.000000	
 2 	 20										0.000000																																																																																																																																														0.000001	0.000000	0.000399	-0.000391	-0.000005	-0.000005																																																																	0.000000	
 2 	 21										0.000000																																																																																																																																														0.000001	0.000000	0.000398	-0.000389	-0.000005	-0.000005																																																																	0.000000	
 2 	 22										0.000000																																																																																																																																														0.000001	0.000000	0.000397	-0.000389	-0.000005	-0.000005																																																																	0.000000	
 2 	 23										0.000000																																																																																																																																														0.000001	0.000000	0.000377	-0.000369	-0.000005	-0.000005																																																																	0.000000	
 2 	 24										0.000000																																																																																																																																														0.000001	0.000000	0.000355	-0.000347	-0.000005	-0.000005																																																																	0.000000	
 3 	 1										0.000000																																																																																																																																														0.000001	0.000000	22.448612	-22.448608	-0.000002	-0.000003																																																																	0.000000	
 3 	 2										0.000000																																																																																																																																														0.000001	0.000000	22.448615	-22.448611	-0.000002	-0.000003																																																																	0.000000	
 3 	 3										0.000000																																																																																																																																														0.000001	0.000000	22.448609	-22.448605	-0.000002	-0.000002																																																																	0.000000	
 3 	 4										0.000000																																																																																																																																														0.000001	0.000000	22.448612	-22.448607	-0.000002	-0.000003																																																																	0.000000	
 3 	 5										0.000000																																																																																																																																														0.000001	0.000000	22.448615	-22.448611	-0.000002	-0.000003																																																																	0.000000	
