Name	GWP_constr	GWP_op
NUCLEAR	707.879962	0.000000
CCGT	164.140314	0.000000
CCGT_AMMONIA	0.000295	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10709.999832	0.000000
WIND_ONSHORE	1557.124954	0.000000
WIND_OFFSHORE	252.481663	0.000000
HYDRO_RIVER	347.275163	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.001292	0.000000
IND_COGEN_WOOD	0.000345	0.000000
IND_COGEN_WASTE	0.000447	0.000000
IND_BOILER_GAS	0.000246	0.000000
IND_BOILER_WOOD	6.586001	0.000000
IND_BOILER_OIL	0.000259	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	20.612403	0.000000
IND_DIRECT_ELEC	1.569865	0.000000
DHN_HP_ELEC	123.060352	0.000000
DHN_COGEN_GAS	0.000948	0.000000
DHN_COGEN_WOOD	0.000200	0.000000
DHN_COGEN_WASTE	0.000364	0.000000
DHN_COGEN_WET_BIOMASS	0.000644	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000384	0.000000
DHN_BOILER_GAS	0.000052	0.000000
DHN_BOILER_WOOD	0.000111	0.000000
DHN_BOILER_OIL	0.000052	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000979	0.000000
DEC_HP_ELEC	1492.802623	0.000000
DEC_THHP_GAS	0.006034	0.000000
DEC_COGEN_GAS	0.002491	0.000000
DEC_COGEN_OIL	0.002060	0.000000
DEC_ADVCOGEN_GAS	0.001081	0.000000
DEC_ADVCOGEN_H2	0.000992	0.000000
DEC_BOILER_GAS	0.000281	0.000000
DEC_BOILER_WOOD	0.000216	0.000000
DEC_BOILER_OIL	0.000238	0.000000
DEC_SOLAR	0.017636	0.000000
DEC_DIRECT_ELEC	0.000147	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
PLANE	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
CO2_TO_METHANOL	0.000000	0.000000
E_WOOD_TO_METHANOL	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.916297	0.000000
BATT_LI	0.001655	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
