Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																													-19.027094	0.000000																																8.264963									0.000002	0.000009	0.000002	0.000000	3.029392	0.000001		2.487773			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036572	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000025	0.000000		0.523147	0.000001	0.000000				0.862770																																																																0.000000	
 1 	 2																													-19.026615	0.000000																																8.264964									0.000002	0.000009	0.000002	0.000000	3.029688	0.000001		2.487560			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036571	0.000000	0.431678	0.000000	3.390746	0.000001						0.000001		0.000001	0.000001		0.000017		0.000004	0.000003		-0.000025	0.000000		0.523184	0.000001	0.000000				0.862174																																																																0.000000	
 1 	 3																													-19.025358	0.000000																																8.264964									0.000002	0.000009	0.000002	0.000000	3.032129	0.000001		2.485799			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036577	0.000000	0.431678	0.000000	3.390747	0.000001						0.000001		0.000001	0.000001		0.000017		0.000004	0.000003		-0.000025	0.000000		0.523196	0.000001	0.000000				0.860219																																																																0.000000	
 1 	 4																													-19.024065	0.000000																																8.264964									0.000002	0.000009	0.000002	0.000000	3.013648	0.000001		2.499129			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036568	0.000000	0.431678	0.000000	3.390748	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000025	0.000000		0.523114	0.000001	0.000000				0.864166																																																																0.000000	
 1 	 5																													-19.023799	0.000000																																8.264963									0.000002	0.000009	0.000002	0.000000	3.013117	0.000001		2.499512			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036567	0.000000	0.431677	0.000000	3.390749	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000025	0.000000		0.523139	0.000001	0.000000				0.864022																																																																0.000000	
 1 	 6																													-19.023958	0.000000																																8.264963									0.000002	0.000009	0.000002	0.000000	3.013605	0.000001		2.499160			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036567	0.000000	0.431677	0.000000	3.390749	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000025	0.000000		0.523142	0.000001	0.000000				0.864043																																																																0.000000	
 1 	 7																													-19.024301	0.000000																																8.264963									0.000002	0.000009	0.000002	0.000000	3.013653	0.000001		2.499125			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036566	0.000000	0.431677	0.000000	3.390748	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000025	0.000000		0.523126	0.000001	0.000000				0.864389																																																																0.000000	
 1 	 8																													-19.024024	0.000000																																8.264964									0.000002	0.000009	0.000002	0.000000	3.013940	0.000001		2.498918			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036568	0.000000	0.431677	0.000000	3.390749	0.000001						0.000001		0.000001	0.000001		0.000019		0.000004	0.000003		-0.000025	0.000000		0.523149	0.000001	0.000000				0.864008																																																																0.000000	
 1 	 9																													-19.024031	0.000000																																8.264964									0.000002	0.000009	0.000002	0.000000	3.014344	0.000001		2.498627			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036567	0.000000	0.431677	0.000000	3.390749	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000025	0.000000		0.523151	0.000001	0.000000				0.863901																																																																0.000000	
 1 	 10																													-19.023569	0.000000																																8.264964									0.000002	0.000009	0.000002	0.000000	3.014612	0.000001		2.498434			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036567	0.000000	0.431677	0.000000	3.390749	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000026	0.000000		0.523144	0.000001	0.000000				0.863371																																																																0.000000	
 1 	 11																													-19.024048	0.000000																																8.264957									0.000002	0.000009	0.000002	0.000000	3.014780	0.000001		2.498313			0.000006	0.000006	0.000002	0.000008	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036567	0.000000	0.431677	0.000000	3.390749	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-0.000026	0.000000		0.523131	0.000001	0.000000				0.863824																																																																0.000000	
 1 	 12																													-11.945829	0.000000																																4.216676									0.000001	0.000008	0.000002	0.000000	3.017699	0.000001		2.496209			0.000005	0.000006	0.000001	0.000004	0.000002	0.000001	0.000007	0.000001																																							0.000000	0.036567	0.000000	0.431660	0.000000	3.390804	0.000001						0.000001		0.000001	0.000001		0.000018		0.000004	0.000003		-3.044415	0.000000		0.523087	0.000001	0.000000				0.877474																																																																0.000000	
 1 	 13																													-8.001254	0.000000																																0.000000									0.000000	0.000004	0.000001	0.000000	3.153193	0.000001		2.597747			0.000001	0.000004	0.000001	0.000002	0.000001	0.000001	0.000007	0.000001																																							0.000000	0.036568	0.000000	0.424779	0.000000	3.412293	0.000001						0.000001		0.000001	0.000001		0.000019		0.000004	0.000003		-3.044431	0.000000		0.523081	0.000001	0.000000				0.897969																																																																0.000000	
