Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																											151.990733	0.000262	0.000035	0.000024	0.000007	0.000006	0.000022	0.000135	0.000015	0.000000	0.000003																																																																											-0.000366	0.000494	-18.407636	13.969694	-0.000370	0.000372	-0.000371	0.000367	-0.000371	0.000366	-0.000368	0.000368	-0.000369	0.000368	-0.000367	0.000377	-0.000382	0.000384	-0.000371	0.000374																											-147.553439	
 1 	 2																																																																																											151.990734	0.000264	0.000035	0.000025	0.000007	0.000006	0.000022	0.000136	0.000016	0.000000	0.000003																																																																											-0.000364	0.000496	-16.316029	15.851983	-0.000367	0.000374	-0.000370	0.000367	-0.000371	0.000366	-0.000368	0.000368	-0.000369	0.000368	-0.000363	0.000374	-0.000380	0.000387	-0.000371	0.000374																											-151.527352	
 1 	 3																																																																																											151.990734	0.000264	0.000035	0.000025	0.000007	0.000006	0.000022	0.000136	0.000016	0.000000	0.000003																																																																											-0.000365	0.000498	-16.191868	15.988634	-0.000362	0.000370	-0.000370	0.000367	-0.000370	0.000365	-0.000368	0.000368	-0.000369	0.000368	-0.000361	0.000373	-0.000381	0.000387	-0.000371	0.000374																											-151.788166	
 1 	 4																																																																																											151.990733	0.000263	0.000035	0.000024	0.000007	0.000006	0.000025	0.000136	0.000016	0.000000	0.000003																																																																											-0.000365	0.000497	-16.060932	16.098355	-0.000368	0.000377	-0.000370	0.000367	-0.000371	0.000367	-0.000368	0.000368	-0.000368	0.000368	-0.000367	0.000376	-0.000381	0.000387	-0.000371	0.000374																											-152.028822	
 1 	 5																																																																																											151.990733	0.000260	0.000035	0.000024	0.000007	0.000006	0.000025	0.000136	0.000017	0.000000	0.000003																																																																											-0.000364	0.000498	-15.416919	16.770746	-0.000363	0.000377	-0.000370	0.000367	-0.000371	0.000367	-0.000368	0.000368	-0.000369	0.000368	-0.000368	0.000376	-0.000380	0.000388	-0.000371	0.000374																											-153.345233	
 1 	 6																																																																																											151.990733	0.000260	0.000035	0.000024	0.000007	0.000006	0.000026	0.000136	0.000017	0.000000	0.000004																																																																											-0.000362	0.000500	-13.372527	19.215293	-0.000360	0.000382	-0.000370	0.000368	-0.000370	0.000367	-0.000368	0.000368	-0.000369	0.000368	-0.000368	0.000377	-0.000378	0.000389	-0.000371	0.000374																											-157.834192	
 1 	 7																																																																																											151.990733	0.000261	0.000035	0.000024	0.000007	0.000006	0.000026	0.000136	0.000017	0.000000	0.000004																																																																											-0.000361	0.000502	-11.757455	21.505418	-0.000357	0.000386	-0.000369	0.000368	-0.000370	0.000367	-0.000368	0.000368	-0.000370	0.000370	-0.000368	0.000377	-0.000376	0.000391	-0.000371	0.000374																											-161.739405	
 1 	 8																																																																																											151.990734	0.000261	0.000035	0.000024	0.000007	0.000006	0.000027	0.000136	0.000018	0.000000	0.000004																																																																											-0.000358	0.000502	-10.492132	23.452121	-0.000355	0.000389	-0.000369	0.000368	-0.000370	0.000368	-0.000368	0.000368	-0.000369	0.000369	-0.000367	0.000377	-0.000374	0.000392	-0.000370	0.000374																											-164.951446	
 1 	 9																																																																																											151.990734	0.000264	0.000035	0.000024	0.000007	0.000006	0.000027	0.000138	0.000018	0.000000	0.000004																																																																											-0.000357	0.000504	-9.102072	25.823687	-0.000353	0.000391	-0.000369	0.000369	-0.000370	0.000368	-0.000368	0.000368	-0.000369	0.000369	-0.000367	0.000377	-0.000367	0.000387	-0.000370	0.000374																											-168.713089	
 1 	 10																																																																																											151.990733	0.000261	0.000035	0.000024	0.000007	0.000006	0.000028	0.000137	0.000018	0.000026	0.000004																																																																											-0.000357	0.000504	-8.104092	28.026214	-0.000351	0.000392	-0.000369	0.000368	-0.000370	0.000367	-0.000368	0.000367	-0.000369	0.000368	-0.000368	0.000376	-0.000367	0.000387	-0.000372	0.000374																											-171.913612	
 1 	 11																																																																																											151.990733	0.000261	0.000036	0.000025	0.000007	0.000006	0.000029	0.000137	0.000019	0.000125	0.000004																																																																											-0.000365	0.000494	-10.002228	24.297945	-0.000365	0.000378	-0.000374	0.000363	-0.000374	0.000363	-0.000372	0.000364	-0.000372	0.000364	-0.000373	0.000370	-0.000396	0.000397	-0.000376	0.000369																											-166.287192	
 1 	 12																																																																																											151.990734	0.000261	0.000017	0.000005	0.000004	0.000002	0.000029	0.000137	0.000019	0.000248	0.000073																																																																											-0.000407	0.000446	-13.736058	18.700100	-0.000385	0.000360	-0.000372	0.000365	-0.000369	0.000368	-0.000375	0.000360	-0.000375	0.000361	-0.000380	0.000364	-0.000402	0.000377	-0.000381	0.000363																											-156.955488	
 1 	 13																																																																																											151.990734	0.000262	0.000005	0.000003	0.000002	0.000001	0.000031	0.000137	0.000019	0.000330	0.001181																																																																											-0.001147	0.000063	-18.699354	13.748394	-0.000404	0.000345	-0.000370	0.000366	-0.000372	0.000365	-0.000377	0.000357	-0.000376	0.000358	-0.000388	0.000360	-0.000438	0.000391	-0.000386	0.000360																											-147.040450	
 1 	 14																																																																																											151.990734	0.000262	0.000005	0.000003	0.000002	0.000001	0.000032	0.000138	0.000020	0.000370	0.000885																																																																											-0.000938	0.000140	-22.075622	11.353870	-0.000413	0.000337	-0.000373	0.000364	-0.000374	0.000363	-0.000378	0.000356	-0.000378	0.000356	-0.000392	0.000357	-0.000444	0.000386	-0.000389	0.000358																											-141.269636	
