Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																								-6.279157								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000005	0.000071	0.000005				0.033857	0.000000	0.000000			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000			2.701210	0.490695	0.093130	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 2																								-6.258452								0.000000																																																												0.000031	0.000016	0.000017	0.000007		0.000005	0.000072	0.000006				0.013555	0.000000	0.000000			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000			2.701210	0.489140	0.094283	0.000016		0.213360	0.000001			0.000000															2.746723					0.000011																																																																													0.000000	
 1 	 3																								-6.253160								0.000000																																																												0.000032	0.000016	0.000017	0.000007		0.000005	0.000072	0.000006				0.006748	0.000000	0.000000			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000			2.701210	0.494981	0.089957	0.000015		0.213360	0.000001			0.000000															2.746723					0.000011																																																																													0.000000	
 1 	 4																								-6.326629								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000006	0.000072	0.000006				0.081327	0.000000	0.000001			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000			2.701210	0.490695	0.093130	0.000016		0.213360	0.000001			0.000000															2.746722					0.000010																																																																													0.000000	
 1 	 5																								-6.462185								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000006	0.000072	0.000006				0.216872	0.000001	0.000003			0.000000	0.000000	0.000000	0.000000	0.000000	0.000001			2.701210	0.490725	0.093108	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 6																								-6.787669								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000006	0.000072	0.000006				0.542181	0.000002	0.000007			0.000000	0.000000	0.000000	0.000000	0.000000	0.000003			2.701210	0.491372	0.092629	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 7																								-7.296048								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000006	0.000072	0.000006				1.050331	0.000004	0.000014			0.000000	0.000000	0.000000	0.000000	0.000000	0.000006			2.701210	0.492205	0.092012	0.000016		0.213360	0.000001			0.000000															2.746722					0.000010																																																																													0.000000	
 1 	 8																								-7.160420								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000006	0.000072	0.000006				0.914803	0.000003	0.000012			0.000000	0.000000	0.000000	0.000000	0.000000	0.000005			2.701210	0.491832	0.092288	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 9																								-7.092619								0.000000																																																												0.000032	0.000016	0.000016	0.000007		0.000006	0.000073	0.000006				0.847042	0.000003	0.000011			0.000000	0.000000	0.000000	0.000000	0.000000	0.000005			2.701210	0.491678	0.092403	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 10																								-7.194237								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000006	0.000073	0.000007				0.948689	0.000003	0.000013			0.000000	0.000000	0.000000	0.000000	0.000000	0.000005			2.701210	0.491556	0.092493	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 11																								-7.329784								0.000000																																																												0.000031	0.000016	0.000016	0.000007		0.000007	0.000073	0.000007				1.084211	0.000004	0.000015			0.000000	0.000000	0.000000	0.000000	0.000000	0.000006			2.701210	0.491635	0.092434	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
 1 	 12																								-7.438000								0.000000																																																												0.000031	0.000008	0.000003	0.000004		0.000007	0.000073	0.000007				1.192636	0.000004	0.000016			0.000000	0.000000	0.000000	0.000000	0.000000	0.000007			2.701210	0.490965	0.092930	0.000016		0.213360	0.000001			0.000000															2.746711					0.000010																																																																													0.000000	
 1 	 13																								-7.202075								0.000000																																																												0.000031	0.000002	0.000002	0.000001		0.000007	0.000073	0.000007				1.084211	0.000004	0.000015			0.000000	0.000000	0.000000	0.000000	0.000000	0.000006			2.701210	0.000129	0.456514	0.000014		0.213360	0.000001			0.000000															2.746476					0.000010																																																																													0.000000	
 1 	 14																								-7.215644								0.000000																																																												0.000031	0.000002	0.000002	0.000001		0.000008	0.000073	0.000007				1.097766	0.000004	0.000015			0.000000	0.000000	0.000000	0.000000	0.000000	0.000006			2.701210	0.000129	0.456514	0.000014		0.213360	0.000001			0.000000															2.746488					0.000010																																																																													0.000000	
 1 	 15																								-7.351164								0.000000																																																												0.000032	0.000002	0.000002	0.000001		0.000008	0.000073	0.000007				1.233294	0.000004	0.000017			0.000000	0.000000	0.000000	0.000000	0.000000	0.000007			2.701210	0.000129	0.456514	0.000014		0.213360	0.000001			0.000000															2.746478					0.000010																																																																													0.000000	
 1 	 16																								-7.532952								0.000000																																																												0.000032	0.000008	0.000003	0.000004		0.000008	0.000073	0.000007				1.287506	0.000005	0.000017			0.000000	0.000000	0.000000	0.000000	0.000000	0.000007			2.701210	0.491260	0.092712	0.000016		0.213360	0.000001			0.000000															2.746711					0.000010																																																																													0.000000	
 1 	 17																								-7.533180								0.000000																																																												0.000032	0.000016	0.000016	0.000007		0.000008	0.000074	0.000008				1.287506	0.000005	0.000017			0.000000	0.000000	0.000000	0.000000	0.000000	0.000007			2.701210	0.491995	0.092167	0.000016		0.213360	0.000001			0.000000															2.746723					0.000010																																																																													0.000000	
