Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 2 	 24																																																																																																						0.459378	1.027597	0.000003	0.809911	0.000001	0.000000																																																																																																																			-2.296890	
 3 	 1																																																																																																						0.286867	0.641701	0.000002	0.505764	0.000000	0.000000																																																																																																																			-1.434334	
 3 	 2																																																																																																						0.114844	0.256899	0.000001	0.202478	0.000000	0.000000																																																																																																																			-0.574222	
 3 	 3																																																																																																						0.057178	0.127903	0.000000	0.100808	0.000000	0.000000																																																																																																																			-0.285889	
 3 	 4																																																																																																						0.689067	1.541395	0.000004	1.214867	0.000001	0.000001																																																																																																																			-3.445335	
 3 	 5																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 3 	 6																																																																																																						4.593777	10.275968	0.000030	8.099115	0.000006	0.000004																																																																																																																			-22.968898	
 3 	 7																																																																																																						8.899221	19.906955	0.000058	15.689881	0.000012	0.000008																																																																																																																			-44.496131	
 3 	 8																																																																																																						7.750924	17.338291	0.000051	13.665361	0.000010	0.000007																																																																																																																			-38.754640	
 3 	 9																																																																																																						7.176799	16.054014	0.000047	12.653144	0.000009	0.000006																																																																																																																			-35.884016	
 3 	 10																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 3 	 11																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 3 	 12																																																																																																						10.104941	22.604069	0.000066	17.815640	0.000013	0.000009																																																																																																																			-50.524734	
 3 	 13																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 3 	 14																																																																																																						9.301128	20.805993	0.000061	16.398467	0.000012	0.000008																																																																																																																			-46.505665	
 3 	 15																																																																																																						10.449426	23.374657	0.000068	18.422988	0.000014	0.000009																																																																																																																			-52.247157	
 3 	 16																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 3 	 17																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 3 	 18																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 3 	 19																																																																																																						5.741439	12.843211	0.000037	10.122515	0.000008	0.000005																																																																																																																			-28.707213	
 3 	 20																																																																																																						4.305444	9.630987	0.000028	7.590766	0.000006	0.000004																																																																																																																			-21.527233	
 3 	 21																																																																																																						2.868667	6.417014	0.000019	5.057639	0.000004	0.000003																																																																																																																			-14.343344	
 3 	 22																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 3 	 23																																																																																																						1.148444	2.568992	0.000007	2.024779	0.000002	0.000001																																																																																																																			-5.742225	
 3 	 24																																																																																																						0.459378	1.027597	0.000003	0.809911	0.000001	0.000000																																																																																																																			-2.296890	
 4 	 1																																																																																																						0.286867	0.641701	0.000002	0.505764	0.000000	0.000000																																																																																																																			-1.434334	
 4 	 2																																																																																																						0.114844	0.256899	0.000001	0.202478	0.000000	0.000000																																																																																																																			-0.574222	
 4 	 3																																																																																																						0.057178	0.127903	0.000000	0.100808	0.000000	0.000000																																																																																																																			-0.285889	
 4 	 4																																																																																																						0.689067	1.541395	0.000004	1.214867	0.000001	0.000001																																																																																																																			-3.445335	
 4 	 5																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 4 	 6																																																																																																						4.593777	10.275968	0.000030	8.099115	0.000006	0.000004																																																																																																																			-22.968898	
 4 	 7																																																																																																						8.899221	19.906955	0.000058	15.689881	0.000012	0.000008																																																																																																																			-44.496131	
 4 	 8																																																																																																						7.750924	17.338291	0.000051	13.665361	0.000010	0.000007																																																																																																																			-38.754640	
 4 	 9																																																																																																						7.176799	16.054014	0.000047	12.653144	0.000009	0.000006																																																																																																																			-35.884016	
 4 	 10																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 4 	 11																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 4 	 12																																																																																																						10.104941	22.604069	0.000066	17.815640	0.000013	0.000009																																																																																																																			-50.524734	
 4 	 13																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 4 	 14																																																																																																						9.301128	20.805993	0.000061	16.398467	0.000012	0.000008																																																																																																																			-46.505665	
 4 	 15																																																																																																						10.449426	23.374657	0.000068	18.422988	0.000014	0.000009																																																																																																																			-52.247157	
 4 	 16																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 4 	 17																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 4 	 18																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 4 	 19																																																																																																						5.741439	12.843211	0.000037	10.122515	0.000008	0.000005																																																																																																																			-28.707213	
 4 	 20																																																																																																						4.305444	9.630987	0.000028	7.590766	0.000006	0.000004																																																																																																																			-21.527233	
 4 	 21																																																																																																						2.868667	6.417014	0.000019	5.057639	0.000004	0.000003																																																																																																																			-14.343344	
 4 	 22																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 4 	 23																																																																																																						1.148444	2.568992	0.000007	2.024779	0.000002	0.000001																																																																																																																			-5.742225	
 4 	 24																																																																																																						0.459378	1.027597	0.000003	0.809911	0.000001	0.000000																																																																																																																			-2.296890	
 5 	 1																																																																																																						0.286867	0.641701	0.000002	0.505764	0.000000	0.000000																																																																																																																			-1.434334	
 5 	 2																																																																																																						0.114844	0.256899	0.000001	0.202478	0.000000	0.000000																																																																																																																			-0.574222	
 5 	 3																																																																																																						0.057178	0.127903	0.000000	0.100808	0.000000	0.000000																																																																																																																			-0.285889	
 5 	 4																																																																																																						0.689067	1.541395	0.000004	1.214867	0.000001	0.000001																																																																																																																			-3.445335	
 5 	 5																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 5 	 6																																																																																																						4.593777	10.275968	0.000030	8.099115	0.000006	0.000004																																																																																																																			-22.968898	
 5 	 7																																																																																																						8.899221	19.906955	0.000058	15.689881	0.000012	0.000008																																																																																																																			-44.496131	
 5 	 8																																																																																																						7.750924	17.338291	0.000051	13.665361	0.000010	0.000007																																																																																																																			-38.754640	
 5 	 9																																																																																																						7.176799	16.054014	0.000047	12.653144	0.000009	0.000006																																																																																																																			-35.884016	
 5 	 10																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 5 	 11																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 5 	 12																																																																																																						10.104941	22.604069	0.000066	17.815640	0.000013	0.000009																																																																																																																			-50.524734	
 5 	 13																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 5 	 14																																																																																																						9.301128	20.805993	0.000061	16.398467	0.000012	0.000008																																																																																																																			-46.505665	
 5 	 15																																																																																																						10.449426	23.374657	0.000068	18.422988	0.000014	0.000009																																																																																																																			-52.247157	
 5 	 16																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 5 	 17																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 5 	 18																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 5 	 19																																																																																																						5.741439	12.843211	0.000037	10.122515	0.000008	0.000005																																																																																																																			-28.707213	
 5 	 20																																																																																																						4.305444	9.630987	0.000028	7.590766	0.000006	0.000004																																																																																																																			-21.527233	
 5 	 21																																																																																																						2.868667	6.417014	0.000019	5.057639	0.000004	0.000003																																																																																																																			-14.343344	
 5 	 22																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 5 	 23																																																																																																						1.148444	2.568992	0.000007	2.024779	0.000002	0.000001																																																																																																																			-5.742225	
 5 	 24																																																																																																						0.459378	1.027597	0.000003	0.809911	0.000001	0.000000																																																																																																																			-2.296890	
 6 	 1																																																																																																						0.286867	0.641701	0.000002	0.505764	0.000000	0.000000																																																																																																																			-1.434334	
 6 	 2																																																																																																						0.114844	0.256899	0.000001	0.202478	0.000000	0.000000																																																																																																																			-0.574222	
 6 	 3																																																																																																						0.057178	0.127903	0.000000	0.100808	0.000000	0.000000																																																																																																																			-0.285889	
 6 	 4																																																																																																						0.689067	1.541395	0.000004	1.214867	0.000001	0.000001																																																																																																																			-3.445335	
 6 	 5																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 6 	 6																																																																																																						4.593777	10.275968	0.000030	8.099115	0.000006	0.000004																																																																																																																			-22.968898	
 6 	 7																																																																																																						8.899221	19.906955	0.000058	15.689881	0.000012	0.000008																																																																																																																			-44.496131	
 6 	 8																																																																																																						7.750924	17.338291	0.000051	13.665361	0.000010	0.000007																																																																																																																			-38.754640	
 6 	 9																																																																																																						7.176799	16.054014	0.000047	12.653144	0.000009	0.000006																																																																																																																			-35.884016	
 6 	 10																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 6 	 11																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 6 	 12																																																																																																						10.104941	22.604069	0.000066	17.815640	0.000013	0.000009																																																																																																																			-50.524734	
 6 	 13																																																																																																						9.186284	20.549094	0.000060	16.195989	0.000012	0.000008																																																																																																																			-45.931443	
 6 	 14																																																																																																						9.301128	20.805993	0.000061	16.398467	0.000012	0.000008																																																																																																																			-46.505665	
 6 	 15																																																																																																						10.449426	23.374657	0.000068	18.422988	0.000014	0.000009																																																																																																																			-52.247157	
 6 	 16																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 6 	 17																																																																																																						10.908755	24.402145	0.000071	19.232813	0.000014	0.000010																																																																																																																			-54.543802	
 6 	 18																																																																																																						8.038035	17.980539	0.000052	14.171555	0.000011	0.000007																																																																																																																			-40.190196	
 6 	 19																																																																																																						5.741439	12.843211	0.000037	10.122515	0.000008	0.000005																																																																																																																			-28.707213	
 6 	 20																																																																																																						4.305444	9.630987	0.000028	7.590766	0.000006	0.000004																																																																																																																			-21.527233	
 6 	 21																																																																																																						2.868667	6.417014	0.000019	5.057639	0.000004	0.000003																																																																																																																			-14.343344	
 6 	 22																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
 6 	 23																																																																																																						1.148444	2.568992	0.000007	2.024779	0.000002	0.000001																																																																																																																			-5.742225	
 6 	 24																																																																																																						0.459378	1.027597	0.000003	0.809911	0.000001	0.000000																																																																																																																			-2.296890	
 7 	 1																																																																																																						0.286867	0.641701	0.000002	0.505764	0.000000	0.000000																																																																																																																			-1.434334	
 7 	 2																																																																																																						0.114844	0.256899	0.000001	0.202478	0.000000	0.000000																																																																																																																			-0.574222	
 7 	 3																																																																																																						0.057178	0.127903	0.000000	0.100808	0.000000	0.000000																																																																																																																			-0.285889	
 7 	 4																																																																																																						0.689067	1.541395	0.000004	1.214867	0.000001	0.000001																																																																																																																			-3.445335	
 7 	 5																																																																																																						1.837511	4.110387	0.000012	3.239646	0.000002	0.000002																																																																																																																			-9.187559	
