Name	GWP_constr	GWP_op
NUCLEAR	707.879999	0.000000
CCGT	133.455234	0.000000
CCGT_AMMONIA	0.000036	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	10709.999905	0.000000
WIND_ONSHORE	1557.124991	0.000000
WIND_OFFSHORE	460.620162	0.000000
HYDRO_RIVER	347.275495	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	0.000157	0.000000
IND_COGEN_WOOD	0.000027	0.000000
IND_COGEN_WASTE	0.000049	0.000000
IND_BOILER_GAS	0.000030	0.000000
IND_BOILER_WOOD	0.000044	0.000000
IND_BOILER_OIL	0.000031	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	27.181195	0.000000
IND_DIRECT_ELEC	1.569852	0.000000
DHN_HP_ELEC	144.620159	0.000000
DHN_COGEN_GAS	0.000108	0.000000
DHN_COGEN_WOOD	0.000018	0.000000
DHN_COGEN_WASTE	0.000037	0.000000
DHN_COGEN_WET_BIOMASS	0.000071	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000045	0.000000
DHN_BOILER_GAS	0.000006	0.000000
DHN_BOILER_WOOD	0.000012	0.000000
DHN_BOILER_OIL	0.000006	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000141	0.000000
DEC_HP_ELEC	1493.282349	0.000000
DEC_THHP_GAS	0.000467	0.000000
DEC_COGEN_GAS	0.000223	0.000000
DEC_COGEN_OIL	0.000179	0.000000
DEC_ADVCOGEN_GAS	0.000114	0.000000
DEC_ADVCOGEN_H2	0.000104	0.000000
DEC_BOILER_GAS	0.000035	0.000000
DEC_BOILER_WOOD	0.000014	0.000000
DEC_BOILER_OIL	0.000030	0.000000
DEC_SOLAR	0.001744	0.000000
DEC_DIRECT_ELEC	0.000014	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
PLANE	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
CO2_TO_METHANOL	0.000000	0.000000
E_WOOD_TO_METHANOL	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.916300	0.000000
BATT_LI	0.000193	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
