Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																																																																																																						0.286867	0.641850	0.000001	0.364285	0.000000	0.141332																																																																																																																			-1.434335	
 1 	 2																																																																																																						0.114844	0.256959	0.000000	0.145838	0.000000	0.056581																																																																																																																			-0.574223	
 1 	 3																																																																																																						0.057178	0.127933	0.000000	0.072609	0.000000	0.028170																																																																																																																			-0.285890	
 1 	 4																																																																																																						0.689067	1.541753	0.000002	0.875028	0.000000	0.339485																																																																																																																			-3.445335	
 1 	 5																																																																																																						1.837512	4.111341	0.000004	2.333409	0.000000	0.905294																																																																																																																			-9.187560	
 1 	 6																																																																																																						4.593780	10.278353	0.000011	5.833522	0.000001	2.263234																																																																																																																			-22.968900	
 1 	 7																																																																																																						8.899227	19.911575	0.000021	11.300897	0.000001	4.384415																																																																																																																			-44.496135	
 1 	 8																																																																																																						7.750928	17.342314	0.000018	9.842703	0.000001	3.818678																																																																																																																			-38.754643	
 1 	 9																																																																																																						7.176804	16.057739	0.000017	9.113637	0.000001	3.535822																																																																																																																			-35.884019	
 1 	 10																																																																																																						8.038040	17.984711	0.000019	10.207298	0.000001	3.960130																																																																																																																			-40.190199	
 1 	 11																																																																																																						9.186289	20.553862	0.000022	11.665430	0.000002	4.525843																																																																																																																			-45.931447	
 1 	 12																																																																																																						10.104947	22.609314	0.000024	12.832010	0.000002	4.978442																																																																																																																			-50.524738	
 1 	 13																																																																																																						9.186289	20.553862	0.000022	11.665430	0.000002	4.525843																																																																																																																			-45.931447	
 1 	 14																																																																																																						9.301134	20.810821	0.000022	11.811268	0.000002	4.582424																																																																																																																			-46.505670	
 1 	 15																																																																																																						10.449432	23.380081	0.000025	13.269463	0.000002	5.148160																																																																																																																			-52.247162	
 1 	 16																																																																																																						10.908761	24.407807	0.000026	13.852753	0.000002	5.374459																																																																																																																			-54.543807	
 1 	 17																																																																																																						10.908761	24.407807	0.000026	13.852753	0.000002	5.374459																																																																																																																			-54.543807	
 1 	 18																																																																																																						8.038040	17.984711	0.000019	10.207298	0.000001	3.960130																																																																																																																			-40.190199	
 1 	 19																																																																																																						5.741443	12.846191	0.000014	7.290909	0.000001	2.828658																																																																																																																			-28.707216	
 1 	 20																																																																																																						4.305447	9.633222	0.000010	5.467375	0.000001	2.121180																																																																																																																			-21.527235	
 1 	 21																																																																																																						2.868669	6.418503	0.000007	3.642848	0.000000	1.413318																																																																																																																			-14.343345	
 1 	 22																																																																																																						1.837512	4.111341	0.000004	2.333409	0.000000	0.905294																																																																																																																			-9.187560	
 1 	 23																																																																																																						1.148445	2.569588	0.000003	1.458380	0.000000	0.565809																																																																																																																			-5.742225	
 1 	 24																																																																																																						0.459378	1.027835	0.000001	0.583352	0.000000	0.226323																																																																																																																			-2.296890	
 2 	 1																																																																																																						0.286867	0.641850	0.000001	0.364285	0.000000	0.141332																																																																																																																			-1.434335	
 2 	 2																																																																																																						0.114844	0.256959	0.000000	0.145838	0.000000	0.056581																																																																																																																			-0.574223	
 2 	 3																																																																																																						0.057178	0.127933	0.000000	0.072609	0.000000	0.028170																																																																																																																			-0.285890	
 2 	 4																																																																																																						0.689067	1.541753	0.000002	0.875028	0.000000	0.339485																																																																																																																			-3.445335	
 2 	 5																																																																																																						1.837512	4.111341	0.000004	2.333409	0.000000	0.905294																																																																																																																			-9.187560	
 2 	 6																																																																																																						4.593780	10.278353	0.000011	5.833522	0.000001	2.263234																																																																																																																			-22.968900	
 2 	 7																																																																																																						8.899227	19.911575	0.000021	11.300897	0.000001	4.384415																																																																																																																			-44.496135	
 2 	 8																																																																																																						7.750928	17.342314	0.000018	9.842703	0.000001	3.818678																																																																																																																			-38.754643	
 2 	 9																																																																																																						7.176804	16.057739	0.000017	9.113637	0.000001	3.535822																																																																																																																			-35.884019	
 2 	 10																																																																																																						8.038040	17.984711	0.000019	10.207298	0.000001	3.960130																																																																																																																			-40.190199	
 2 	 11																																																																																																						9.186289	20.553862	0.000022	11.665430	0.000002	4.525843																																																																																																																			-45.931447	
 2 	 12																																																																																																						10.104947	22.609314	0.000024	12.832010	0.000002	4.978442																																																																																																																			-50.524738	
 2 	 13																																																																																																						9.186289	20.553862	0.000022	11.665430	0.000002	4.525843																																																																																																																			-45.931447	
 2 	 14																																																																																																						9.301134	20.810821	0.000022	11.811268	0.000002	4.582424																																																																																																																			-46.505670	
 2 	 15																																																																																																						10.449432	23.380081	0.000025	13.269463	0.000002	5.148160																																																																																																																			-52.247162	
 2 	 16																																																																																																						10.908761	24.407807	0.000026	13.852753	0.000002	5.374459																																																																																																																			-54.543807	
 2 	 17																																																																																																						10.908761	24.407807	0.000026	13.852753	0.000002	5.374459																																																																																																																			-54.543807	
 2 	 18																																																																																																						8.038040	17.984711	0.000019	10.207298	0.000001	3.960130																																																																																																																			-40.190199	
 2 	 19																																																																																																						5.741443	12.846191	0.000014	7.290909	0.000001	2.828658																																																																																																																			-28.707216	
 2 	 20																																																																																																						4.305447	9.633222	0.000010	5.467375	0.000001	2.121180																																																																																																																			-21.527235	
 2 	 21																																																																																																						2.868669	6.418503	0.000007	3.642848	0.000000	1.413318																																																																																																																			-14.343345	
 2 	 22																																																																																																						1.837512	4.111341	0.000004	2.333409	0.000000	0.905294																																																																																																																			-9.187560	
 2 	 23																																																																																																						1.148445	2.569588	0.000003	1.458380	0.000000	0.565809																																																																																																																			-5.742225	
