Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																													-12.995392	0.000000																																7.927683									0.000006	0.000016	0.000004	0.000002	2.926046	0.000002		3.015826			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267771	0.000000	0.424860	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044434	0.000000		0.521751	0.000002	0.000000				0.597821																																																																0.000000	
 1 	 2																													-12.996231	0.000000																																7.927683									0.000006	0.000016	0.000004	0.000002	2.926046	0.000002		3.015826			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000004	0.000001																																							0.000000	0.267709	0.000000	0.424859	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044434	0.000000		0.522050	0.000002	0.000000				0.598423																																																																0.000000	
 1 	 3																													-12.996133	0.000000																																7.927683									0.000006	0.000016	0.000004	0.000002	2.926046	0.000002		3.015825			0.000011	0.000007	0.000003	0.000012	0.000004	0.000001	0.000004	0.000001																																							0.000000	0.268269	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044434	0.000000		0.522035	0.000002	0.000000				0.597782																																																																0.000000	
 1 	 4																													-12.996567	0.000000																																7.927683									0.000006	0.000016	0.000004	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267683	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521363	0.000002	0.000000				0.599474																																																																0.000000	
 1 	 5																													-12.994948	0.000000																																7.927683									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267683	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521369	0.000002	0.000000				0.597848																																																																0.000000	
 1 	 6																													-12.994572	0.000000																																7.927683									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267683	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521351	0.000002	0.000000				0.597489																																																																0.000000	
 1 	 7																													-12.994053	0.000000																																7.927683									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267659	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521278	0.000002	0.000000				0.597067																																																																0.000000	
 1 	 8																													-12.994400	0.000000																																7.927683									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267704	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521386	0.000002	0.000000				0.597263																																																																0.000000	
 1 	 9																													-12.994912	0.000000																																7.927683									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267706	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521357	0.000002	0.000000				0.597801																																																																0.000000	
 1 	 10																													-12.994253	0.000000																																7.927683									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000007	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267709	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521373	0.000002	0.000000				0.597124																																																																0.000000	
 1 	 11																													-12.995275	0.000000																																7.927680									0.000006	0.000016	0.000003	0.000002	2.926046	0.000002		3.015825			0.000011	0.000008	0.000003	0.000012	0.000004	0.000001	0.000005	0.000001																																							0.000000	0.267711	0.000000	0.424861	0.000000	0.000022	0.357955						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044433	0.000000		0.521376	0.000002	0.000000				0.598143																																																																0.000000	
 1 	 12																													-8.616060	0.000000																																3.542229									0.000004	0.000015	0.000003	0.000001	2.926041	0.000001		3.015822			0.000008	0.000005	0.000002	0.000005	0.000003	0.000001	0.000005	0.000001																																							0.000000	0.267718	0.000000	0.424884	0.000000	0.000022	0.357947						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044439	0.000000		0.521432	0.000002	0.000000				0.604332																																																																0.000000	
 1 	 13																													-5.098380	0.000000																																0.000001									0.000001	0.000006	0.000002	0.000001	2.923791	0.000001		3.014413			0.000001	0.000003	0.000001	0.000003	0.000002	0.000001	0.000005	0.000001																																							0.000000	0.267722	0.000000	0.431496	0.000000	0.000022	0.355781						0.000001		0.000002	0.000001		0.000001		0.000005	0.000003		-3.044440	0.000000		0.521409	0.000002	0.000000				0.628142																																																																0.000000	
