Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																11.180721																																																									-0.000023					-11.180680					-0.000018																																																																																																																																											0.000000	
 1 	 2																11.180574																																																									-0.000023					-11.180533					-0.000018																																																																																																																																											0.000000	
 1 	 3																11.181484																																																									-0.000023					-11.181444					-0.000018																																																																																																																																											0.000000	
 1 	 4																11.185791																																																									-0.000023					-11.185750					-0.000018																																																																																																																																											0.000000	
 1 	 5																11.186222																																																									-0.000022					-11.186182					-0.000018																																																																																																																																											0.000000	
 1 	 6																11.186255																																																									-0.000022					-11.186215					-0.000018																																																																																																																																											0.000000	
 1 	 7																11.186200																																																									-0.000022					-11.186161					-0.000018																																																																																																																																											0.000000	
 1 	 8																11.186712																																																									-0.000022					-11.186672					-0.000018																																																																																																																																											0.000000	
 1 	 9																11.186599																																																									-0.000022					-11.186559					-0.000018																																																																																																																																											0.000000	
 1 	 10																11.186595																																																									-0.000022					-11.186555					-0.000018																																																																																																																																											0.000000	
 1 	 11																11.186133																																																									-0.000022					-11.186093					-0.000018																																																																																																																																											0.000000	
 1 	 12																11.193844																																																									-0.000018					-11.193812					-0.000014																																																																																																																																											0.000000	
 1 	 13																11.428800																																																									-0.000014					-11.428776					-0.000011																																																																																																																																											0.000000	
 1 	 14																11.428810																																																									-0.000014					-11.428785					-0.000011																																																																																																																																											0.000000	
 1 	 15																11.428803																																																									-0.000015					-11.428778					-0.000011																																																																																																																																											0.000000	
 1 	 16																11.192067																																																									-0.000019					-11.192033					-0.000014																																																																																																																																											0.000000	
 1 	 17																11.184129																																																									-0.000023					-11.184088					-0.000018																																																																																																																																											0.000000	
 1 	 18																11.185858																																																									-0.000023					-11.185817					-0.000018																																																																																																																																											0.000000	
 1 	 19																11.186399																																																									-0.000022					-11.186359					-0.000018																																																																																																																																											0.000000	
 1 	 20																11.186363																																																									-0.000022					-11.186323					-0.000018																																																																																																																																											0.000000	
 1 	 21																11.186443																																																									-0.000022					-11.186403					-0.000018																																																																																																																																											0.000000	
 1 	 22																11.186478																																																									-0.000022					-11.186438					-0.000018																																																																																																																																											0.000000	
 1 	 23																11.186305																																																									-0.000022					-11.186265					-0.000018																																																																																																																																											0.000000	
 1 	 24																11.185244																																																									-0.000023					-11.185203					-0.000018																																																																																																																																											0.000000	
 2 	 1																11.188574																																																									-0.000018					-11.188543					-0.000013																																																																																																																																											0.000000	
 2 	 2																11.183928																																																									-0.000018					-11.183897					-0.000013																																																																																																																																											0.000000	
 2 	 3																11.185346																																																									-0.000018					-11.185315					-0.000013																																																																																																																																											0.000000	
 2 	 4																11.189122																																																									-0.000017					-11.189092					-0.000013																																																																																																																																											0.000000	
 2 	 5																11.189162																																																									-0.000017					-11.189132					-0.000013																																																																																																																																											0.000000	
 2 	 6																11.189209																																																									-0.000017					-11.189179					-0.000013																																																																																																																																											0.000000	
 2 	 7																11.189157																																																									-0.000017					-11.189127					-0.000013																																																																																																																																											0.000000	
 2 	 8																11.188067																																																									-0.000017					-11.188037					-0.000013																																																																																																																																											0.000000	
 2 	 9																11.187857																																																									-0.000017					-11.187828					-0.000013																																																																																																																																											0.000000	
 2 	 10																11.186405																																																									-0.000017					-11.186376					-0.000013																																																																																																																																											0.000000	
 2 	 11																11.428793																																																									-0.000014					-11.428769					-0.000010																																																																																																																																											0.000000	
 2 	 12																11.428782																																																									-0.000014					-11.428758					-0.000010																																																																																																																																											0.000000	
 2 	 13																11.428750																																																									-0.000013					-11.428727					-0.000010																																																																																																																																											0.000000	
 2 	 14																11.428746																																																									-0.000013					-11.428723					-0.000010																																																																																																																																											0.000000	
 2 	 15																11.428746																																																									-0.000013					-11.428723					-0.000010																																																																																																																																											0.000000	
 2 	 16																11.428792																																																									-0.000014					-11.428768					-0.000010																																																																																																																																											0.000000	
 2 	 17																11.428793																																																									-0.000014					-11.428770					-0.000010																																																																																																																																											0.000000	
 2 	 18																11.186918																																																									-0.000017					-11.186888					-0.000013																																																																																																																																											0.000000	
 2 	 19																11.187824																																																									-0.000017					-11.187794					-0.000013																																																																																																																																											0.000000	
 2 	 20																11.188113																																																									-0.000017					-11.188083					-0.000013																																																																																																																																											0.000000	
 2 	 21																11.188201																																																									-0.000017					-11.188171					-0.000013																																																																																																																																											0.000000	
 2 	 22																11.188324																																																									-0.000017					-11.188294					-0.000013																																																																																																																																											0.000000	
 2 	 23																11.188373																																																									-0.000017					-11.188343					-0.000013																																																																																																																																											0.000000	
 2 	 24																11.187795																																																									-0.000018					-11.187763					-0.000013																																																																																																																																											0.000000	
 3 	 1																11.428802																																																									-0.000013					-11.428781					-0.000008																																																																																																																																											0.000000	
 3 	 2																11.428799																																																									-0.000013					-11.428778					-0.000008																																																																																																																																											0.000000	
 3 	 3																11.428798																																																									-0.000013					-11.428777					-0.000008																																																																																																																																											0.000000	
 3 	 4																11.428798																																																									-0.000013					-11.428778					-0.000008																																																																																																																																											0.000000	
 3 	 5																11.428801																																																									-0.000013					-11.428780					-0.000008																																																																																																																																											0.000000	
 3 	 6																11.428795																																																									-0.000013					-11.428775					-0.000008																																																																																																																																											0.000000	
 3 	 7																11.428794																																																									-0.000013					-11.428773					-0.000008																																																																																																																																											0.000000	
 3 	 8																11.428794																																																									-0.000013					-11.428774					-0.000008																																																																																																																																											0.000000	
 3 	 9																11.428800																																																									-0.000013					-11.428780					-0.000008																																																																																																																																											0.000000	
 3 	 10																11.428802																																																									-0.000013					-11.428782					-0.000008																																																																																																																																											0.000000	
