Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	JETFUEL_RE	JETFUEL	FT_FUEL	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATMOSPHERE	CO2_CENTRALISED	CO2_CAPTURED	CO2_DECENTRALISED	OTHER_GHG	OLIVE_PITS	APPLES	CEREALSTRAW	CHERRIES	MAIZESTRAW	OLIVES	OSR	RICESTRAW	VINEYARDS	MISCANTHUS	SWITCHGRASS	WILLOW	POPLAR	CP_RES	FUELWOOD_RES	LANDSCAPECARE	MSW	FUELWOODRW	OTHERSECRESID	SAWDUST	CP_RW	GRASS_FOR_BIOGAS	MAIZE_SILAGE	SUGARBEETTOPS	MANURE_LIQ	MANURE_SOL	SLUDGE	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	PLANE	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRAIN_FREIGHT	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	CO2_TO_METHANOL	E_WOOD_TO_METHANOL	METHANE_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	ALKALINE_ELECTROLYSIS	HT_ELECTROLYSIS	SMR	BIO_HYDROLYSIS	H2_BIOMASS	WOOD_TO_METHANE	CO2_TO_METHANE	E_WOOD_TO_METHANE	BIOMETHANATION	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	WOOD_TO_METHANOL	AMMONIA_TO_H2	E_WOOD_TO_FT	WOOD_TO_FT	CO2_TO_FT	REFINERY_JETFUEL	REFINERY_GASOLINE	REFINERY_DIESEL	CEMENT_PROCESS	NATURAL_CO2_SEQUESTRATION	AGRICULTURE_EMISSIONS	BIOMASS_SEQUESTRATION	DAC_HT	DAC_LT	WOOD_GROWTH	WET_BIOMASS_GROWTH	SEQUESTRATION	GHG_EMISSIONS	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	JETFUEL_STORAGE_Pin	JETFUEL_STORAGE_Pout	WOOD_STORAGE_Pin	WOOD_STORAGE_Pout	END_USE	
 1 	 1																15.307443																																																									-0.000022					-15.307405					-0.000016																																																																																																																																											0.000000	
 1 	 2																15.307443																																																									-0.000022					-15.307405					-0.000016																																																																																																																																											0.000000	
 1 	 3																15.307443																																																									-0.000022					-15.307405					-0.000016																																																																																																																																											0.000000	
 1 	 4																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 5																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 6																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 7																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 8																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 9																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 10																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 11																15.307442																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 12																15.307398																																																									-0.000018					-15.307369					-0.000012																																																																																																																																											0.000000	
 1 	 13																15.301741																																																									-0.000011					-15.301722					-0.000008																																																																																																																																											0.000000	
 1 	 14																15.302044																																																									-0.000013					-15.302022					-0.000009																																																																																																																																											0.000000	
 1 	 15																15.301734																																																									-0.000011					-15.301715					-0.000008																																																																																																																																											0.000000	
 1 	 16																15.307399																																																									-0.000019					-15.307368					-0.000012																																																																																																																																											0.000000	
 1 	 17																15.307442																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 18																15.307442																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 19																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 20																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 21																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 22																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 23																15.307441																																																									-0.000022					-15.307404					-0.000016																																																																																																																																											0.000000	
 1 	 24																15.307441																																																									-0.000022					-15.307403					-0.000016																																																																																																																																											0.000000	
 2 	 1																15.307384																																																									-0.000017					-15.307355					-0.000011																																																																																																																																											0.000000	
 2 	 2																15.307387																																																									-0.000017					-15.307358					-0.000011																																																																																																																																											0.000000	
 2 	 3																15.307390																																																									-0.000017					-15.307361					-0.000011																																																																																																																																											0.000000	
 2 	 4																15.307387																																																									-0.000017					-15.307359					-0.000011																																																																																																																																											0.000000	
 2 	 5																15.307388																																																									-0.000017					-15.307360					-0.000011																																																																																																																																											0.000000	
 2 	 6																15.307388																																																									-0.000017					-15.307360					-0.000011																																																																																																																																											0.000000	
 2 	 7																15.307388																																																									-0.000017					-15.307360					-0.000011																																																																																																																																											0.000000	
 2 	 8																15.307388																																																									-0.000017					-15.307360					-0.000011																																																																																																																																											0.000000	
 2 	 9																15.307388																																																									-0.000017					-15.307360					-0.000011																																																																																																																																											0.000000	
 2 	 10																15.307383																																																									-0.000017					-15.307355					-0.000011																																																																																																																																											0.000000	
 2 	 11																15.301590																																																									-0.000012					-15.301570					-0.000008																																																																																																																																											0.000000	
 2 	 12																15.301362																																																									-0.000011					-15.301343					-0.000008																																																																																																																																											0.000000	
 2 	 13																13.378891																																																									-0.000011					-13.378871					-0.000008																																																																																																																																											0.000000	
 2 	 14																10.243262																																																									-0.000011					-10.243243					-0.000008																																																																																																																																											0.000000	
 2 	 15																12.012517																																																									-0.000011					-12.012498					-0.000008																																																																																																																																											0.000000	
 2 	 16																15.301462																																																									-0.000012					-15.301442					-0.000008																																																																																																																																											0.000000	
 2 	 17																15.301570																																																									-0.000012					-15.301550					-0.000008																																																																																																																																											0.000000	
 2 	 18																15.307378																																																									-0.000017					-15.307351					-0.000011																																																																																																																																											0.000000	
 2 	 19																15.307386																																																									-0.000017					-15.307358					-0.000011																																																																																																																																											0.000000	
 2 	 20																15.307386																																																									-0.000017					-15.307358					-0.000011																																																																																																																																											0.000000	
 2 	 21																15.307386																																																									-0.000017					-15.307358					-0.000011																																																																																																																																											0.000000	
 2 	 22																15.307387																																																									-0.000017					-15.307359					-0.000011																																																																																																																																											0.000000	
 2 	 23																15.307387																																																									-0.000017					-15.307359					-0.000011																																																																																																																																											0.000000	
 2 	 24																15.307386																																																									-0.000017					-15.307357					-0.000011																																																																																																																																											0.000000	
 3 	 1																9.890344																																																									-0.000010					-9.890328					-0.000006																																																																																																																																											0.000000	
 3 	 2																11.707198																																																									-0.000010					-11.707183					-0.000006																																																																																																																																											0.000000	
 3 	 3																13.485025																																																									-0.000009					-13.485010					-0.000006																																																																																																																																											0.000000	
 3 	 4																13.597245																																																									-0.000009					-13.597230					-0.000006																																																																																																																																											0.000000	
 3 	 5																13.914342																																																									-0.000010					-13.914327					-0.000006																																																																																																																																											0.000000	
 3 	 6																14.606621																																																									-0.000010					-14.606606					-0.000006																																																																																																																																											0.000000	
 3 	 7																14.801209																																																									-0.000010					-14.801194					-0.000006																																																																																																																																											0.000000	
 3 	 8																13.219793																																																									-0.000010					-13.219778					-0.000006																																																																																																																																											0.000000	
 3 	 9																12.632117																																																									-0.000010					-12.632101					-0.000006																																																																																																																																											0.000000	
 3 	 10																12.468946																																																									-0.000010					-12.468931					-0.000006																																																																																																																																											0.000000	
